State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,KRISHNA,Cashewnut,2002-03,Whole Year,478,Hectare,59,Tonnes,0.1234309623
Andhra Pradesh,KRISHNA,Cashewnut,2003-04,Whole Year,355,Hectare,95,Tonnes,0.2676056338
Andhra Pradesh,MAHBUBNAGAR,Cashewnut,2001-02,Whole Year,18,Hectare,2,Tonnes,0.1111111111
Andhra Pradesh,MAHBUBNAGAR,Cashewnut,2002-03,Whole Year,10,Hectare,2,Tonnes,0.2
Andhra Pradesh,MAHBUBNAGAR,Cashewnut,2003-04,Whole Year,3,Hectare,0,Tonnes,0
Andhra Pradesh,MEDAK,Cashewnut,2001-02,Whole Year,18,Hectare,2,Tonnes,0.1111111111
Andhra Pradesh,MEDAK,Cashewnut,2002-03,Whole Year,15,Hectare,3,Tonnes,0.2
Andhra Pradesh,MEDAK,Cashewnut,2003-04,Whole Year,19,Hectare,3,Tonnes,0.1578947368
Andhra Pradesh,PRAKASAM,Cashewnut,2001-02,Whole Year,702,Hectare,193,Tonnes,0.2749287749
Andhra Pradesh,PRAKASAM,Cashewnut,2002-03,Whole Year,687,Hectare,85,Tonnes,0.1237263464
Andhra Pradesh,PRAKASAM,Cashewnut,2003-04,Whole Year,698,Hectare,187,Tonnes,0.2679083095
Andhra Pradesh,RANGAREDDI,Cashewnut,2002-03,Whole Year,3,Hectare,1,Tonnes,0.3333333333
Andhra Pradesh,RANGAREDDI,Cashewnut,2003-04,Whole Year,3,Hectare,0,Tonnes,0
Andhra Pradesh,SPSR NELLORE,Cashewnut,2001-02,Whole Year,665,Hectare,183,Tonnes,0.2751879699
Andhra Pradesh,SPSR NELLORE,Cashewnut,2002-03,Whole Year,778,Hectare,97,Tonnes,0.1246786632
Andhra Pradesh,SPSR NELLORE,Cashewnut,2003-04,Whole Year,806,Hectare,216,Tonnes,0.2679900744
